$GPGGA,024602.994,3454.928,N,07902.496,W,0,00,,,M,,M,,*55
$GPGGA,024603.994,3454.927,N,07902.495,W,0,00,,,M,,M,,*58
$GPGGA,024604.994,3454.925,N,07902.495,W,0,00,,,M,,M,,*5D
$GPGGA,024605.994,3454.923,N,07902.494,W,0,00,,,M,,M,,*5B
$GPGGA,024606.994,3454.922,N,07902.494,W,0,00,,,M,,M,,*59
$GPGGA,024607.994,3454.920,N,07902.494,W,0,00,,,M,,M,,*5A
$GPGGA,024608.994,3454.918,N,07902.494,W,0,00,,,M,,M,,*5E
$GPGGA,024609.994,3454.916,N,07902.494,W,0,00,,,M,,M,,*51
$GPGGA,024610.994,3454.914,N,07902.493,W,0,00,,,M,,M,,*5C
$GPGGA,024611.994,3454.913,N,07902.494,W,0,00,,,M,,M,,*5D
$GPGGA,024612.994,3454.911,N,07902.494,W,0,00,,,M,,M,,*5C
$GPGGA,024613.994,3454.909,N,07902.494,W,0,00,,,M,,M,,*54
$GPGGA,024614.994,3454.907,N,07902.494,W,0,00,,,M,,M,,*5D
$GPGGA,024615.994,3454.905,N,07902.495,W,0,00,,,M,,M,,*5F
$GPGGA,024616.994,3454.904,N,07902.495,W,0,00,,,M,,M,,*5D
$GPGGA,024617.994,3454.902,N,07902.496,W,0,00,,,M,,M,,*59
$GPGGA,024618.994,3454.900,N,07902.496,W,0,00,,,M,,M,,*54
$GPGGA,024619.994,3454.898,N,07902.496,W,0,00,,,M,,M,,*55
$GPGGA,024620.994,3454.897,N,07902.497,W,0,00,,,M,,M,,*51
$GPGGA,024621.994,3454.895,N,07902.497,W,0,00,,,M,,M,,*52
$GPGGA,024622.994,3454.893,N,07902.497,W,0,00,,,M,,M,,*57
$GPGGA,024623.994,3454.891,N,07902.497,W,0,00,,,M,,M,,*54
$GPGGA,024624.994,3454.890,N,07902.498,W,0,00,,,M,,M,,*5D
$GPGGA,024625.994,3454.888,N,07902.498,W,0,00,,,M,,M,,*55
$GPGGA,024626.994,3454.886,N,07902.499,W,0,00,,,M,,M,,*59
$GPGGA,024627.994,3454.885,N,07902.499,W,0,00,,,M,,M,,*5B
$GPGGA,024628.994,3454.883,N,07902.500,W,0,00,,,M,,M,,*53
$GPGGA,024629.994,3454.881,N,07902.500,W,0,00,,,M,,M,,*50
$GPGGA,024630.994,3454.879,N,07902.500,W,0,00,,,M,,M,,*5F
$GPGGA,024631.994,3454.877,N,07902.500,W,0,00,,,M,,M,,*50
$GPGGA,024632.994,3454.876,N,07902.500,W,0,00,,,M,,M,,*52
$GPGGA,024633.994,3454.874,N,07902.500,W,0,00,,,M,,M,,*51
$GPGGA,024634.994,3454.872,N,07902.499,W,0,00,,,M,,M,,*51
$GPGGA,024635.994,3454.870,N,07902.499,W,0,00,,,M,,M,,*52
$GPGGA,024636.994,3454.869,N,07902.499,W,0,00,,,M,,M,,*59
$GPGGA,024637.994,3454.867,N,07902.499,W,0,00,,,M,,M,,*56
$GPGGA,024638.994,3454.865,N,07902.499,W,0,00,,,M,,M,,*5B
